Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,+10uF,CP_Elec_5x5.4,108.5,-88.5,0.0,top
C10,4.7uF,C_0805_2012Metric,145.0,-99.45,90.0,top
C11,100nF,C_0805_2012Metric,148.0,-99.55,-90.0,top
C12,4.7uF,C_0805_2012Metric,141.5,-98.45,90.0,top
C13,100nF,C_0805_2012Metric,151.5,-99.55,-90.0,top
C14,100nF,C_0805_2012Metric,155.5,-99.5,90.0,top
C2,+33uF,CP_Elec_5x5.4,107.2,-98.0,0.0,top
C3,+33uF,CP_Elec_5x5.4,115.3,-98.0,180.0,top
C4,+100uF,CP_Elec_5x5.4,130.3,-99.5,0.0,top
C5,+33uF,CP_Elec_5x5.4,108.7,-79.5,180.0,top
C6,100nF,C_0805_2012Metric,119.525,-79.5,180.0,top
C7,+470uF,CP_Elec_6.3x7.7,133.0,-92.5,0.0,top
C9,4.7uF,C_0805_2012Metric,139.0,-91.45,-90.0,top
D1,RED_LED,LED_0603_1608Metric,161.2125,-79.5,0.0,top
F1,MF-FSMF050X-2,Fuse_0603_1608Metric,161.5,-99.0,-90.0,top
F2,MF-FSMF050X-2,Fuse_0603_1608Metric,142.5,-79.7875,-90.0,top
FB1,30mOhm,L_0603_1608Metric,161.5,-95.2125,-90.0,top
FB2,30mOhm,L_0603_1608Metric,164.5,-96.7875,90.0,top
J1,Battery_9V,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,153.1,-81.5,0.0,top
J3,USB_B_Mini,USB_Mini-B_Wuerth_65100516121_Horizontal,167.25,-89.0,90.0,top
J4,PJ-320B,BOOMELE_PJ-320B,97.6,-89.0,0.0,top
Q1,BC849,SOT-23,122.0,-91.5,0.0,top
Q2,BC859,SOT-23,115.325,-83.7125,90.0,top
Q3,BC859,SOT-23,127.5875,-87.9,0.0,top
Q4,BC859,SOT-23,127.5875,-82.9,0.0,top
Q5,BC849,SOT-23,136.05,-85.9375,180.0,top
R1,100K,R_0805_2012Metric,115.775,-87.9,90.0,top
R10,220R,R_0805_2012Metric,123.275,-83.0625,90.0,top
R12,22R,R_0805_2012Metric,160.0,-91.4125,90.0,top
R13,22R,R_0805_2012Metric,154.5,-91.4125,90.0,top
R14,1.5K,R_0805_2012Metric,158.0,-95.4125,90.0,top
R15,220R,R_0805_2012Metric,160.0,-87.0,180.0,top
R16,100R,R_0805_2012Metric,147.0,-79.4125,-90.0,top
R17,220R,R_0805_2012Metric,141.0,-85.5625,90.0,top
R2,10K,R_0805_2012Metric,115.3625,-92.4,0.0,top
R3,1K,R_0805_2012Metric,115.3625,-79.5,180.0,top
R4,100K,R_0805_2012Metric,118.275,-87.9875,-90.0,top
R5,10K,R_0805_2012Metric,121.5,-97.4125,-90.0,top
R6,33K,R_0805_2012Metric,124.5,-97.4125,90.0,top
R7,33K,R_0805_2012Metric,122.5875,-87.5,0.0,top
R8,100R,R_0805_2012Metric,136.5875,-99.5,180.0,top
R9,33K,R_0805_2012Metric,124.0,-78.5,0.0,top
U1,CM108B,TQFP48,146.550431,-91.368451,-45.0,top
U2,PC817,DIP-4_W7.62mm_SMDSocket_SmallPads,135.31,-80.27,0.0,top
